customer_id,merchant_id,external_customer_id,segment,success_rate,avg_value,preferred_method
37,2,cust_00000037,REGULAR,0.741,1486.11,CARD
38,3,cust_00000038,NEW,0.7428,1835.13,NETBANKING
39,4,cust_00000039,NEW,0.631,996.46,CARD
40,0,cust_00000040,REGULAR,0.7972,3694.64,UPI
41,1,cust_00000041,NEW,0.7257,1729.94,CARD
42,2,cust_00000042,NEW,0.6655,1146.97,NETBANKING
43,3,cust_00000043,REGULAR,0.9447,850.75,WALLET
44,4,cust_00000044,REGULAR,0.9393,2349.62,UPI
45,0,cust_00000045,NEW,0.5353,1483.18,CARD
46,1,cust_00000046,PREMIUM,0.9638,14662.83,NETBANKING
47,2,cust_00000047,REGULAR,0.7861,2925.89,CARD
48,3,cust_00000048,PREMIUM,0.9252,7549.97,WALLET
49,4,cust_00000049,NEW,0.6634,626.27,UPI
50,0,cust_00000050,NEW,0.7462,1033.29,NETBANKING
51,1,cust_00000051,NEW,0.4,590.68,UPI
52,2,cust_00000052,NEW,0.7888,691.53,WALLET
53,3,cust_00000053,REGULAR,0.6584,3599.48,NETBANKING
54,4,cust_00000054,REGULAR,0.5664,1841.03,UPI
55,0,cust_00000055,PREMIUM,0.9671,6655.38,CARD
56,1,cust_00000056,PREMIUM,0.9735,9564.09,NETBANKING
57,2,cust_00000057,NEW,0.7996,921.99,UPI
58,3,cust_00000058,REGULAR,0.9375,4005.52,CARD
59,4,cust_00000059,REGULAR,0.7957,2212.2,CARD
60,0,cust_00000060,NEW,0.8602,660.1,CARD
61,1,cust_00000061,REGULAR,0.8313,3074.39,UPI
62,2,cust_00000062,REGULAR,0.8647,5929.85,WALLET
63,3,cust_00000063,REGULAR,0.8555,3660.53,WALLET
64,4,cust_00000064,REGULAR,0.8608,4367.22,CARD
65,0,cust_00000065,PREMIUM,0.9679,19207.69,WALLET
66,1,cust_00000066,REGULAR,0.8729,1961.26,CARD
67,2,cust_00000067,REGULAR,0.7934,1014.88,CARD
68,3,cust_00000068,REGULAR,0.9438,3661.35,NETBANKING
69,4,cust_00000069,NEW,0.599,5152.04,NETBANKING
70,0,cust_00000070,REGULAR,0.8295,1342.9,NETBANKING
71,1,cust_00000071,PREMIUM,0.8981,14737.78,CARD
72,2,cust_00000072,REGULAR,0.7485,1638.03,CARD
73,3,cust_00000073,REGULAR,0.8263,4383.45,CARD
74,4,cust_00000074,NEW,0.7484,4035.01,UPI
75,0,cust_00000075,REGULAR,0.842,1011.12,CARD
76,1,cust_00000076,NEW,0.7444,1914.28,NETBANKING
77,2,cust_00000077,NEW,0.7231,833.59,NETBANKING
78,3,cust_00000078,REGULAR,0.937,1768.14,UPI
79,4,cust_00000079,NEW,0.5661,2268.03,UPI
80,0,cust_00000080,REGULAR,0.7645,1923.08,WALLET
81,1,cust_00000081,PREMIUM,0.8892,5816.26,NETBANKING
82,2,cust_00000082,PREMIUM,0.893,12140.16,WALLET
83,3,cust_00000083,NEW,0.5093,1006.03,CARD
84,4,cust_00000084,REGULAR,0.9331,1824.4,UPI
85,0,cust_00000085,REGULAR,0.9784,7838.15,NETBANKING
86,1,cust_00000086,REGULAR,0.8111,2792.17,NETBANKING
87,2,cust_00000087,REGULAR,0.8211,3945.9,WALLET
88,3,cust_00000088,NEW,0.6508,3055.59,NETBANKING
89,4,cust_00000089,REGULAR,0.7322,1555.52,NETBANKING
90,0,cust_00000090,REGULAR,0.8819,2796.99,UPI
91,1,cust_00000091,REGULAR,0.8171,1209.78,NETBANKING
92,2,cust_00000092,REGULAR,0.9568,3356.77,CARD
93,3,cust_00000093,REGULAR,0.6233,2400.76,CARD
94,4,cust_00000094,PREMIUM,0.9467,7972.58,WALLET
95,0,cust_00000095,PREMIUM,0.9379,8600.38,CARD
96,1,cust_00000096,CHURN_RISK,0.3526,1713.27,CARD
97,2,cust_00000097,CHURN_RISK,0.543,1382.65,UPI
98,3,cust_00000098,NEW,0.6489,4184.66,UPI
99,4,cust_00000099,REGULAR,0.8547,1180.82,UPI
100,0,cust_00000100,CHURN_RISK,0.3731,5882.14,NETBANKING
101,1,cust_00000101,NEW,0.5917,2813.63,WALLET
102,2,cust_00000102,NEW,0.7656,1455.44,CARD
103,3,cust_00000103,REGULAR,0.8971,3063.1,CARD
104,4,cust_00000104,REGULAR,0.8984,3106.2,WALLET
105,0,cust_00000105,PREMIUM,0.9073,4108.73,UPI
106,1,cust_00000106,CHURN_RISK,0.3712,2240.1,WALLET
107,2,cust_00000107,REGULAR,0.845,1478.95,NETBANKING
108,3,cust_00000108,REGULAR,0.9187,2753.18,NETBANKING
109,4,cust_00000109,REGULAR,0.7427,5733.81,UPI
110,0,cust_00000110,REGULAR,0.7748,1232.75,UPI
111,1,cust_00000111,REGULAR,0.8565,4949.64,NETBANKING
112,2,cust_00000112,NEW,0.8422,1602.86,WALLET
113,3,cust_00000113,NEW,0.7971,1549.09,UPI
114,4,cust_00000114,NEW,0.8159,400.32,NETBANKING
115,0,cust_00000115,REGULAR,0.7994,2800.84,WALLET
116,1,cust_00000116,REGULAR,0.8954,2676.99,UPI
117,2,cust_00000117,REGULAR,0.8989,1524.64,NETBANKING
118,3,cust_00000118,REGULAR,0.8257,3480.02,UPI
119,4,cust_00000119,PREMIUM,0.8427,7821.58,UPI
120,0,cust_00000120,REGULAR,0.9315,2810.37,NETBANKING
121,1,cust_00000121,PREMIUM,0.8985,11782.93,CARD
122,2,cust_00000122,REGULAR,0.91,2727.96,UPI
123,3,cust_00000123,REGULAR,0.8214,2378.89,CARD
124,4,cust_00000124,PREMIUM,0.8608,8315.83,WALLET
125,0,cust_00000125,PREMIUM,0.9662,13805.78,WALLET
126,1,cust_00000126,REGULAR,0.6362,2844.42,WALLET
127,2,cust_00000127,REGULAR,0.7078,7087.1,UPI
128,3,cust_00000128,CHURN_RISK,0.3851,1255.21,UPI
129,4,cust_00000129,REGULAR,0.803,1605.3,UPI
130,0,cust_00000130,REGULAR,0.7762,2993.7,UPI
131,1,cust_00000131,REGULAR,0.8618,4621.74,CARD
132,2,cust_00000132,PREMIUM,0.894,12475.77,CARD
133,3,cust_00000133,CHURN_RISK,0.3776,735.96,WALLET
134,4,cust_00000134,REGULAR,0.9321,1581.39,CARD
135,0,cust_00000135,NEW,0.8114,1422.79,CARD
136,1,cust_00000136,PREMIUM,0.9752,13526.13,WALLET
137,2,cust_00000137,REGULAR,0.6708,4734.81,WALLET
138,3,cust_00000138,REGULAR,0.7656,1756.35,UPI
139,4,cust_00000139,CHURN_RISK,0.3327,3328.2,CARD
140,0,cust_00000140,REGULAR,0.5,5745.61,CARD
141,1,cust_00000141,REGULAR,0.9487,1710.96,CARD
142,2,cust_00000142,REGULAR,0.9154,1020.8,CARD
143,3,cust_00000143,REGULAR,0.8894,1824.68,NETBANKING
144,4,cust_00000144,REGULAR,0.7808,4760.92,NETBANKING
145,0,cust_00000145,REGULAR,0.7429,2987.45,UPI
146,1,cust_00000146,PREMIUM,0.8815,7923.86,WALLET
147,2,cust_00000147,NEW,0.5943,851.31,CARD
148,3,cust_00000148,NEW,0.586,1688.11,CARD
149,4,cust_00000149,PREMIUM,0.9255,7946.89,CARD
150,0,cust_00000150,REGULAR,0.8074,1946.3,NETBANKING
151,1,cust_00000151,PREMIUM,0.7919,5523.92,NETBANKING
152,2,cust_00000152,NEW,0.8341,797.63,NETBANKING
153,3,cust_00000153,REGULAR,0.7619,1316.72,CARD
154,4,cust_00000154,NEW,0.6364,2067.84,NETBANKING
155,0,cust_00000155,NEW,0.7564,1968.8,NETBANKING
156,1,cust_00000156,NEW,0.6934,660.98,CARD
157,2,cust_00000157,PREMIUM,0.8702,8682.91,CARD
158,3,cust_00000158,CHURN_RISK,0.5696,2876.51,NETBANKING
159,4,cust_00000159,REGULAR,0.7036,4213.55,CARD
160,0,cust_00000160,PREMIUM,0.9597,8180.39,NETBANKING
161,1,cust_00000161,REGULAR,0.8481,2061.48,NETBANKING
162,2,cust_00000162,REGULAR,0.9441,3860.18,UPI
163,3,cust_00000163,NEW,0.8983,1603.02,CARD
164,4,cust_00000164,NEW,0.7094,2387.42,UPI
165,0,cust_00000165,REGULAR,0.9744,5197.38,UPI
166,1,cust_00000166,CHURN_RISK,0.2694,2057.62,NETBANKING
167,2,cust_00000167,REGULAR,0.891,2059.26,UPI
168,3,cust_00000168,REGULAR,0.9335,1719.29,NETBANKING
169,4,cust_00000169,REGULAR,0.7527,1367.85,UPI
170,0,cust_00000170,CHURN_RISK,0.265,1730.06,WALLET
171,1,cust_00000171,REGULAR,0.8723,1796.33,CARD
172,2,cust_00000172,PREMIUM,0.9524,10943.99,CARD
173,3,cust_00000173,REGULAR,0.9327,3100.72,CARD
174,4,cust_00000174,CHURN_RISK,0.4707,2767.77,NETBANKING
175,0,cust_00000175,NEW,0.7873,325.15,CARD
176,1,cust_00000176,NEW,0.6391,2594.35,UPI
177,2,cust_00000177,NEW,0.6862,2821.48,UPI
178,3,cust_00000178,NEW,0.8054,4984.04,NETBANKING
179,4,cust_00000179,REGULAR,0.7198,2602.67,WALLET
180,0,cust_00000180,REGULAR,0.8271,7746.59,NETBANKING
181,1,cust_00000181,NEW,0.7935,2905.05,WALLET
182,2,cust_00000182,NEW,0.7061,442.78,UPI
183,3,cust_00000183,REGULAR,0.7796,1469.0,WALLET
184,4,cust_00000184,PREMIUM,0.8458,3998.52,UPI
185,0,cust_00000185,NEW,0.4936,3476.29,UPI
186,1,cust_00000186,REGULAR,0.9527,4709.39,WALLET
187,2,cust_00000187,CHURN_RISK,0.3996,1581.78,NETBANKING
188,3,cust_00000188,REGULAR,0.7273,5356.27,NETBANKING
189,4,cust_00000189,PREMIUM,0.8946,8473.97,WALLET
190,0,cust_00000190,NEW,0.6024,3672.28,UPI
191,1,cust_00000191,REGULAR,0.704,3487.06,NETBANKING
192,2,cust_00000192,REGULAR,0.9355,6560.8,CARD
193,3,cust_00000193,REGULAR,0.7513,3315.7,CARD
194,4,cust_00000194,NEW,0.5798,1830.83,UPI
195,0,cust_00000195,REGULAR,0.7466,2500.39,NETBANKING
196,1,cust_00000196,REGULAR,0.5346,1103.06,UPI
197,2,cust_00000197,NEW,0.4,3343.92,CARD
198,3,cust_00000198,CHURN_RISK,0.3615,3034.66,UPI
199,4,cust_00000199,REGULAR,0.7349,3111.09,WALLET
200,0,cust_00000200,PREMIUM,0.8319,10766.8,NETBANKING
201,1,cust_00000201,PREMIUM,0.8301,12879.96,NETBANKING
202,2,cust_00000202,REGULAR,0.7459,3754.22,NETBANKING
203,3,cust_00000203,PREMIUM,0.9326,18737.79,WALLET
204,4,cust_00000204,NEW,0.4649,2320.34,CARD
205,0,cust_00000205,PREMIUM,0.9298,3137.03,WALLET
206,1,cust_00000206,REGULAR,0.9232,8372.66,WALLET
207,2,cust_00000207,NEW,0.6476,654.22,NETBANKING
208,3,cust_00000208,REGULAR,0.7795,7191.06,CARD
209,4,cust_00000209,REGULAR,0.5915,1732.5,NETBANKING
210,0,cust_00000210,NEW,0.6283,2354.94,CARD
211,1,cust_00000211,NEW,0.4229,2103.96,CARD
212,2,cust_00000212,NEW,0.8441,3084.41,CARD
213,3,cust_00000213,PREMIUM,0.9254,5920.71,WALLET
214,4,cust_00000214,PREMIUM,0.8079,5099.82,NETBANKING
215,0,cust_00000215,CHURN_RISK,0.4637,1222.1,UPI
216,1,cust_00000216,REGULAR,0.8308,2814.11,NETBANKING
217,2,cust_00000217,REGULAR,0.5438,1655.0,UPI
218,3,cust_00000218,REGULAR,0.779,2517.42,WALLET
219,4,cust_00000219,NEW,0.6897,2072.07,UPI
220,0,cust_00000220,CHURN_RISK,0.4621,1824.26,WALLET
221,1,cust_00000221,REGULAR,0.8029,944.66,UPI
222,2,cust_00000222,CHURN_RISK,0.2441,2480.01,WALLET
223,3,cust_00000223,PREMIUM,0.98,4800.12,WALLET
224,4,cust_00000224,REGULAR,0.8433,2649.34,UPI
225,0,cust_00000225,REGULAR,0.7653,3154.2,CARD
226,1,cust_00000226,PREMIUM,0.944,4183.3,CARD
227,2,cust_00000227,PREMIUM,0.9658,4764.64,UPI
228,3,cust_00000228,REGULAR,0.8758,3338.96,WALLET
229,4,cust_00000229,CHURN_RISK,0.31,1530.04,CARD
230,0,cust_00000230,REGULAR,0.8343,1456.21,WALLET
231,1,cust_00000231,CHURN_RISK,0.4394,1858.87,NETBANKING
232,2,cust_00000232,NEW,0.7523,1571.71,WALLET
233,3,cust_00000233,REGULAR,0.8188,3717.51,WALLET
234,4,cust_00000234,NEW,0.6988,3948.59,WALLET
235,0,cust_00000235,PREMIUM,0.9801,3448.86,NETBANKING
236,1,cust_00000236,PREMIUM,0.9912,5633.79,CARD
237,2,cust_00000237,NEW,0.821,2276.61,WALLET
238,3,cust_00000238,NEW,0.6523,1768.56,NETBANKING
239,4,cust_00000239,REGULAR,0.6151,3477.93,WALLET
240,0,cust_00000240,REGULAR,0.8233,3828.6,CARD
241,1,cust_00000241,REGULAR,0.7498,4695.14,UPI
242,2,cust_00000242,NEW,0.6055,1741.63,WALLET
243,3,cust_00000243,REGULAR,0.5366,1176.86,NETBANKING
244,4,cust_00000244,REGULAR,0.8589,6181.0,CARD
245,0,cust_00000245,REGULAR,0.9199,3540.59,NETBANKING
246,1,cust_00000246,REGULAR,0.765,1557.36,WALLET
247,2,cust_00000247,NEW,0.5456,748.27,UPI
248,3,cust_00000248,NEW,0.6376,926.3,CARD
249,4,cust_00000249,REGULAR,0.8422,2350.34,NETBANKING
250,0,cust_00000250,REGULAR,0.7966,2349.01,NETBANKING
251,1,cust_00000251,REGULAR,0.8284,2803.45,WALLET
252,2,cust_00000252,NEW,0.4,778.73,CARD
253,3,cust_00000253,NEW,0.7164,1071.62,NETBANKING
254,4,cust_00000254,PREMIUM,0.8719,8459.11,NETBANKING
255,0,cust_00000255,PREMIUM,0.6,5402.17,WALLET
256,1,cust_00000256,REGULAR,0.8133,793.7,UPI
257,2,cust_00000257,PREMIUM,0.9263,4414.57,NETBANKING
258,3,cust_00000258,NEW,0.5165,1669.92,WALLET
259,4,cust_00000259,REGULAR,0.9123,1179.51,CARD
260,0,cust_00000260,PREMIUM,0.9105,9397.43,UPI
261,1,cust_00000261,CHURN_RISK,0.3026,1148.96,NETBANKING
262,2,cust_00000262,REGULAR,0.7923,1176.97,UPI
263,3,cust_00000263,REGULAR,0.8531,935.33,UPI
264,4,cust_00000264,REGULAR,0.8543,3631.92,WALLET
265,0,cust_00000265,PREMIUM,0.9765,3650.29,UPI
266,1,cust_00000266,PREMIUM,0.79,6387.67,UPI
267,2,cust_00000267,PREMIUM,0.9129,5850.91,CARD
268,3,cust_00000268,REGULAR,0.8569,3639.13,CARD
269,4,cust_00000269,PREMIUM,0.8715,3955.61,WALLET
270,0,cust_00000270,REGULAR,0.7195,3096.08,UPI
271,1,cust_00000271,NEW,0.6402,3775.61,WALLET
272,2,cust_00000272,REGULAR,0.7802,5126.77,NETBANKING
273,3,cust_00000273,REGULAR,0.9528,2382.59,NETBANKING
274,4,cust_00000274,REGULAR,0.914,4415.77,WALLET
275,0,cust_00000275,NEW,0.4,749.79,NETBANKING
276,1,cust_00000276,NEW,0.8075,762.88,WALLET
277,2,cust_00000277,PREMIUM,0.9403,3707.63,UPI
278,3,cust_00000278,REGULAR,0.8791,2944.3,WALLET
279,4,cust_00000279,REGULAR,0.7231,2093.55,CARD
280,0,cust_00000280,REGULAR,0.8105,3177.83,NETBANKING
281,1,cust_00000281,REGULAR,0.8373,2032.55,UPI
282,2,cust_00000282,REGULAR,0.7472,1652.82,NETBANKING
283,3,cust_00000283,PREMIUM,0.8245,24820.27,CARD
284,4,cust_00000284,REGULAR,0.7521,4913.65,NETBANKING
285,0,cust_00000285,REGULAR,0.7661,2704.23,CARD
286,1,cust_00000286,PREMIUM,0.9548,8934.63,NETBANKING
287,2,cust_00000287,NEW,0.8586,681.76,NETBANKING
288,3,cust_00000288,PREMIUM,0.9213,6432.89,WALLET
289,4,cust_00000289,CHURN_RISK,0.5443,6763.59,WALLET
290,0,cust_00000290,PREMIUM,0.9035,7977.04,NETBANKING
291,1,cust_00000291,NEW,0.5607,901.15,WALLET
292,2,cust_00000292,CHURN_RISK,0.4106,1306.41,UPI
293,3,cust_00000293,CHURN_RISK,0.379,2574.06,UPI
294,4,cust_00000294,NEW,0.7661,1520.82,UPI
295,0,cust_00000295,NEW,0.7157,284.09,NETBANKING
296,1,cust_00000296,REGULAR,0.661,1488.06,UPI
297,2,cust_00000297,NEW,0.4549,2908.45,NETBANKING
298,3,cust_00000298,PREMIUM,0.8558,5382.27,WALLET
299,4,cust_00000299,REGULAR,0.6216,2532.51,UPI
300,0,cust_00000300,REGULAR,0.9203,3986.33,UPI
301,1,cust_00000301,NEW,0.6479,776.9,WALLET
302,2,cust_00000302,REGULAR,0.9681,5891.45,UPI
303,3,cust_00000303,REGULAR,0.7615,3388.94,WALLET
304,4,cust_00000304,REGULAR,0.6787,1571.61,NETBANKING
305,0,cust_00000305,REGULAR,0.8771,3820.39,CARD
306,1,cust_00000306,PREMIUM,0.9457,13474.96,UPI
307,2,cust_00000307,REGULAR,0.7836,1693.48,CARD
308,3,cust_00000308,REGULAR,0.7946,19388.35,NETBANKING
309,4,cust_00000309,REGULAR,0.6888,2582.7,NETBANKING
310,0,cust_00000310,REGULAR,0.8448,3058.38,NETBANKING
311,1,cust_00000311,REGULAR,0.8297,5447.53,NETBANKING
312,2,cust_00000312,REGULAR,0.9279,1088.68,UPI
313,3,cust_00000313,REGULAR,0.9004,2306.59,CARD
314,4,cust_00000314,NEW,0.7427,722.06,CARD
315,0,cust_00000315,REGULAR,0.8291,2986.85,WALLET
316,1,cust_00000316,CHURN_RISK,0.2871,7431.57,WALLET
317,2,cust_00000317,CHURN_RISK,0.3512,1168.48,NETBANKING
318,3,cust_00000318,REGULAR,0.8057,5252.81,WALLET
319,4,cust_00000319,REGULAR,0.9199,2954.18,CARD
320,0,cust_00000320,REGULAR,0.5,2091.44,NETBANKING
321,1,cust_00000321,NEW,0.5512,1371.86,UPI
322,2,cust_00000322,NEW,0.73,3123.36,NETBANKING
323,3,cust_00000323,NEW,0.7529,1958.16,UPI
324,4,cust_00000324,REGULAR,0.7024,7864.26,NETBANKING
325,0,cust_00000325,REGULAR,0.6536,1371.15,WALLET
326,1,cust_00000326,REGULAR,0.8446,2327.99,CARD
327,2,cust_00000327,NEW,0.8085,791.22,WALLET
328,3,cust_00000328,REGULAR,0.7642,5880.49,WALLET
329,4,cust_00000329,NEW,0.5981,770.18,NETBANKING
330,0,cust_00000330,NEW,0.4,1642.98,CARD
331,1,cust_00000331,PREMIUM,0.9708,5793.12,CARD
332,2,cust_00000332,REGULAR,0.6447,1138.25,UPI
333,3,cust_00000333,PREMIUM,0.7398,6677.85,UPI
334,4,cust_00000334,NEW,0.7681,226.46,UPI
335,0,cust_00000335,PREMIUM,0.9516,5669.94,NETBANKING
336,1,cust_00000336,CHURN_RISK,0.4225,1075.54,UPI
337,2,cust_00000337,PREMIUM,0.9178,5826.96,WALLET
338,3,cust_00000338,CHURN_RISK,0.2762,1265.43,NETBANKING
339,4,cust_00000339,NEW,0.6476,1694.89,NETBANKING
340,0,cust_00000340,REGULAR,0.824,2398.97,NETBANKING
341,1,cust_00000341,NEW,0.7342,11121.63,CARD
342,2,cust_00000342,NEW,0.6711,982.67,NETBANKING
343,3,cust_00000343,CHURN_RISK,0.4592,5443.28,UPI
344,4,cust_00000344,REGULAR,0.8262,2672.99,NETBANKING
345,0,cust_00000345,REGULAR,0.8164,4784.18,NETBANKING
346,1,cust_00000346,PREMIUM,0.89,2623.89,CARD
347,2,cust_00000347,REGULAR,0.8478,2574.37,NETBANKING
348,3,cust_00000348,REGULAR,0.6642,1865.49,NETBANKING
349,4,cust_00000349,REGULAR,0.858,1706.46,WALLET
350,0,cust_00000350,REGULAR,0.8651,3795.94,WALLET
351,1,cust_00000351,REGULAR,0.8549,4127.36,CARD
352,2,cust_00000352,REGULAR,0.7859,7838.93,WALLET
353,3,cust_00000353,NEW,0.7744,1026.28,WALLET
354,4,cust_00000354,NEW,0.5535,3283.49,NETBANKING
355,0,cust_00000355,REGULAR,0.876,2539.16,NETBANKING
356,1,cust_00000356,REGULAR,0.7673,1617.5,CARD
357,2,cust_00000357,CHURN_RISK,0.4475,2094.07,WALLET
358,3,cust_00000358,PREMIUM,0.8971,5563.52,WALLET
359,4,cust_00000359,PREMIUM,0.832,9735.43,WALLET
360,0,cust_00000360,PREMIUM,0.9835,4905.22,WALLET
361,1,cust_00000361,NEW,0.8607,470.65,NETBANKING
362,2,cust_00000362,REGULAR,0.6736,4059.13,NETBANKING
363,3,cust_00000363,NEW,0.8049,1691.21,NETBANKING
364,4,cust_00000364,NEW,0.6619,1802.58,WALLET
365,0,cust_00000365,REGULAR,0.8142,2104.57,NETBANKING
366,1,cust_00000366,NEW,0.4522,1110.48,NETBANKING
367,2,cust_00000367,NEW,0.5815,2865.3,NETBANKING
368,3,cust_00000368,REGULAR,0.8531,10467.19,NETBANKING
369,4,cust_00000369,REGULAR,0.8488,4155.12,NETBANKING
370,0,cust_00000370,REGULAR,0.8762,3082.77,UPI
371,1,cust_00000371,REGULAR,0.7834,2528.69,WALLET
372,2,cust_00000372,PREMIUM,0.9251,19531.3,UPI
373,3,cust_00000373,CHURN_RISK,0.375,793.27,CARD
374,4,cust_00000374,REGULAR,0.7487,4681.46,WALLET
375,0,cust_00000375,REGULAR,0.822,3826.59,UPI
376,1,cust_00000376,NEW,0.6288,3263.54,NETBANKING
377,2,cust_00000377,REGULAR,0.6713,2217.71,WALLET
378,3,cust_00000378,CHURN_RISK,0.2,2188.6,WALLET
379,4,cust_00000379,NEW,0.547,1135.32,NETBANKING
380,0,cust_00000380,REGULAR,0.6796,7161.96,NETBANKING
381,1,cust_00000381,REGULAR,0.6868,2923.18,NETBANKING
382,2,cust_00000382,CHURN_RISK,0.4484,1012.24,WALLET
383,3,cust_00000383,NEW,0.7036,2687.77,CARD
384,4,cust_00000384,CHURN_RISK,0.2,2243.58,UPI
385,0,cust_00000385,PREMIUM,0.977,6951.02,NETBANKING
386,1,cust_00000386,NEW,0.6414,1454.87,UPI
387,2,cust_00000387,REGULAR,0.5092,1423.72,WALLET
388,3,cust_00000388,PREMIUM,0.9014,13660.26,UPI
389,4,cust_00000389,REGULAR,0.9746,3852.85,CARD
390,0,cust_00000390,NEW,0.6003,1858.14,CARD
391,1,cust_00000391,PREMIUM,0.9869,7405.96,WALLET
392,2,cust_00000392,REGULAR,0.8892,3035.51,CARD
393,3,cust_00000393,NEW,0.7673,3060.61,WALLET
394,4,cust_00000394,REGULAR,0.848,2276.96,CARD
395,0,cust_00000395,REGULAR,0.6956,1883.21,CARD
396,1,cust_00000396,REGULAR,0.9203,6603.39,CARD
397,2,cust_00000397,REGULAR,0.5,1256.91,CARD
398,3,cust_00000398,CHURN_RISK,0.252,1307.83,UPI
399,4,cust_00000399,NEW,0.8326,447.83,WALLET
400,0,cust_00000400,PREMIUM,0.9645,4808.04,UPI
401,1,cust_00000401,CHURN_RISK,0.2191,3067.3,CARD
402,2,cust_00000402,NEW,0.6799,1508.72,NETBANKING
403,3,cust_00000403,REGULAR,0.7012,1865.27,CARD
404,4,cust_00000404,NEW,0.6616,691.28,CARD
405,0,cust_00000405,PREMIUM,0.8413,28576.91,WALLET
406,1,cust_00000406,CHURN_RISK,0.3744,388.99,WALLET
407,2,cust_00000407,NEW,0.621,3376.64,NETBANKING
408,3,cust_00000408,NEW,0.8386,1437.46,CARD
409,4,cust_00000409,PREMIUM,0.9466,4265.98,WALLET
410,0,cust_00000410,NEW,0.5343,1612.79,NETBANKING
411,1,cust_00000411,PREMIUM,0.8837,7731.47,UPI
412,2,cust_00000412,REGULAR,0.8575,2866.98,UPI
413,3,cust_00000413,PREMIUM,0.9103,5413.37,WALLET
414,4,cust_00000414,NEW,0.5886,890.28,CARD
415,0,cust_00000415,REGULAR,0.8955,2678.13,WALLET
416,1,cust_00000416,CHURN_RISK,0.3107,3560.62,UPI
417,2,cust_00000417,NEW,0.6116,1200.81,NETBANKING
418,3,cust_00000418,PREMIUM,0.9628,5483.12,WALLET
419,4,cust_00000419,PREMIUM,0.9371,7661.95,WALLET
420,0,cust_00000420,PREMIUM,0.9056,4380.29,NETBANKING
421,1,cust_00000421,REGULAR,0.6599,3304.9,NETBANKING
422,2,cust_00000422,NEW,0.7747,671.23,UPI
423,3,cust_00000423,REGULAR,0.5,6398.49,WALLET
424,4,cust_00000424,NEW,0.589,4107.68,NETBANKING
425,0,cust_00000425,PREMIUM,0.7937,11237.08,NETBANKING
426,1,cust_00000426,NEW,0.8531,1369.36,CARD
427,2,cust_00000427,CHURN_RISK,0.4396,1883.3,UPI
428,3,cust_00000428,NEW,0.4,400.24,NETBANKING
429,4,cust_00000429,NEW,0.4,723.06,UPI
430,0,cust_00000430,NEW,0.779,1783.06,WALLET
431,1,cust_00000431,PREMIUM,0.8716,4170.55,NETBANKING
432,2,cust_00000432,REGULAR,0.7915,1935.25,CARD
433,3,cust_00000433,PREMIUM,0.9115,20752.84,WALLET
434,4,cust_00000434,REGULAR,0.8748,5894.85,NETBANKING
435,0,cust_00000435,NEW,0.7065,1127.9,NETBANKING
436,1,cust_00000436,REGULAR,0.8034,1571.07,NETBANKING
437,2,cust_00000437,NEW,0.4,1527.26,UPI
