payment_id,merchant_id,customer_id,external_payment_id,amount,currency,payment_method,status,failure_reason,attempt_number,created_at,hour,day_of_week,recent_method_failure_rate,merchant_success_rate,customer_success_rate,segment
19,2,907,pay_000000019,1296.08,INR,UPI,CAPTURED,,1,2026-05-01 00:40:00,0,4,0.08,0.88,0.7928,NEW
20,1,1161,pay_000000020,7884.67,INR,UPI,CAPTURED,,1,2026-05-01 00:45:00,0,4,0.08,0.9,0.9527,PREMIUM
21,0,1470,pay_000000021,2077.09,INR,NETBANKING,FAILED,NETWORK_FAILURE,1,2026-05-01 00:55:00,0,4,0.16,0.93,0.8514,REGULAR
22,0,805,pay_000000022,9973.62,INR,NETBANKING,CAPTURED,,1,2026-05-01 00:56:00,0,4,0.16,0.93,0.7237,REGULAR
23,4,1684,pay_000000023,9196.62,INR,UPI,CAPTURED,,1,2026-05-01 01:00:00,1,4,0.08,0.91,0.8248,REGULAR
24,3,2018,pay_000000024,6475.76,INR,WALLET,CAPTURED,,1,2026-05-01 01:02:00,1,4,0.2,0.95,0.8641,PREMIUM
25,0,125,pay_000000025,9751.45,INR,UPI,CAPTURED,,1,2026-05-01 01:04:00,1,4,0.08,0.93,0.9662,PREMIUM
26,3,2053,pay_000000026,1213.65,INR,UPI,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 01:04:00,1,4,0.08,0.95,0.676,CHURN_RISK
27,3,1703,pay_000000027,10309.22,INR,UPI,CAPTURED,,1,2026-05-01 01:11:00,1,4,0.08,0.95,0.9729,PREMIUM
28,1,146,pay_000000028,8223.8,INR,CARD,CAPTURED,,1,2026-05-01 01:11:00,1,4,0.12,0.9,0.8815,PREMIUM
29,4,1999,pay_000000029,2387.66,INR,CARD,CAPTURED,,1,2026-05-01 01:12:00,1,4,0.12,0.91,0.2928,CHURN_RISK
30,3,1238,pay_000000030,1694.95,INR,NETBANKING,CAPTURED,,1,2026-05-01 01:12:00,1,4,0.16,0.95,0.7736,REGULAR
31,0,55,pay_000000031,5864.45,INR,CARD,FAILED,REPEATED_FAILURE,3,2026-05-01 01:14:00,1,4,0.12,0.93,0.9671,PREMIUM
32,4,204,pay_000000032,2494.12,INR,CARD,CAPTURED,,1,2026-05-01 01:15:00,1,4,0.12,0.91,0.4649,NEW
33,2,147,pay_000000033,878.94,INR,CARD,CAPTURED,,1,2026-05-01 01:16:00,1,4,0.12,0.88,0.5943,NEW
34,2,1017,pay_000000034,617.32,INR,UPI,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 01:21:00,1,4,0.08,0.88,0.6908,NEW
35,0,1305,pay_000000035,7730.02,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 01:28:00,1,4,0.12,0.93,0.9111,PREMIUM
36,0,600,pay_000000036,3053.8,INR,NETBANKING,CAPTURED,,1,2026-05-01 01:28:00,1,4,0.16,0.93,0.7906,NEW
37,3,2428,pay_000000037,757.18,INR,NETBANKING,FAILED,NETWORK_FAILURE,1,2026-05-01 01:31:00,1,4,0.16,0.95,0.6997,NEW
38,3,78,pay_000000038,2601.75,INR,UPI,FAILED,AUTHENTICATION_FAILURE,1,2026-05-01 01:35:00,1,4,0.08,0.95,0.937,REGULAR
39,3,2433,pay_000000039,1534.8,INR,NETBANKING,CAPTURED,,1,2026-05-01 01:42:00,1,4,0.16,0.95,0.8692,REGULAR
40,2,377,pay_000000040,1960.33,INR,WALLET,CAPTURED,,1,2026-05-01 01:44:00,1,4,0.2,0.88,0.6713,REGULAR
41,3,273,pay_000000041,2318.71,INR,NETBANKING,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 01:46:00,1,4,0.16,0.95,0.9528,REGULAR
42,4,1229,pay_000000042,1252.17,INR,CARD,CAPTURED,,1,2026-05-01 01:55:00,1,4,0.12,0.91,0.5881,REGULAR
43,2,1902,pay_000000043,2887.1,INR,CARD,CAPTURED,,1,2026-05-01 01:56:00,1,4,0.12,0.88,0.8129,REGULAR
44,2,1652,pay_000000044,2598.82,INR,WALLET,CAPTURED,,1,2026-05-01 01:59:00,1,4,0.2,0.88,0.7812,REGULAR
45,3,1983,pay_000000045,17643.45,INR,CARD,CAPTURED,,1,2026-05-01 02:03:00,2,4,0.12,0.95,0.7357,REGULAR
46,2,1132,pay_000000046,547.79,INR,WALLET,CAPTURED,,1,2026-05-01 02:05:00,2,4,0.2,0.88,0.585,REGULAR
47,2,2192,pay_000000047,1358.21,INR,CARD,FAILED,MERCHANT_CONFIGURATION,1,2026-05-01 02:05:00,2,4,0.12,0.88,0.6148,NEW
48,0,1910,pay_000000048,3268.86,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:07:00,2,4,0.16,0.93,0.8464,REGULAR
49,3,108,pay_000000049,1662.57,INR,CARD,CAPTURED,,1,2026-05-01 02:12:00,2,4,0.12,0.95,0.9187,REGULAR
50,4,1254,pay_000000050,1731.19,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:12:00,2,4,0.16,0.91,0.7943,NEW
51,1,2431,pay_000000051,2994.81,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:15:00,2,4,0.16,0.9,0.6051,NEW
52,0,1815,pay_000000052,1886.58,INR,NETBANKING,FAILED,NETWORK_FAILURE,1,2026-05-01 02:19:00,2,4,0.16,0.93,0.7794,REGULAR
53,4,2054,pay_000000053,3129.63,INR,CARD,CAPTURED,,1,2026-05-01 02:23:00,2,4,0.12,0.91,0.956,REGULAR
54,4,1799,pay_000000054,29289.61,INR,UPI,CAPTURED,,1,2026-05-01 02:24:00,2,4,0.08,0.91,0.9499,PREMIUM
55,4,1519,pay_000000055,1084.08,INR,CARD,CAPTURED,,1,2026-05-01 02:27:00,2,4,0.12,0.91,0.5277,NEW
56,2,837,pay_000000056,14981.35,INR,WALLET,CAPTURED,,1,2026-05-01 02:27:00,2,4,0.2,0.88,0.9781,PREMIUM
57,2,167,pay_000000057,3199.64,INR,UPI,FAILED,CUSTOMER_ABANDONMENT,1,2026-05-01 02:30:00,2,4,0.08,0.88,0.891,REGULAR
58,3,753,pay_000000058,13824.13,INR,UPI,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 02:33:00,2,4,0.08,0.95,0.7692,REGULAR
59,0,600,pay_000000059,2151.44,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:34:00,2,4,0.16,0.93,0.7906,NEW
60,1,1811,pay_000000060,1932.04,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 02:36:00,2,4,0.12,0.9,0.6191,NEW
61,1,866,pay_000000061,5557.44,INR,CARD,CAPTURED,,1,2026-05-01 02:39:00,2,4,0.12,0.9,0.7686,REGULAR
62,4,884,pay_000000062,6151.54,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:45:00,2,4,0.16,0.91,0.9864,PREMIUM
63,3,2143,pay_000000063,10527.2,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:49:00,2,4,0.16,0.95,0.858,PREMIUM
64,4,489,pay_000000064,3630.32,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:50:00,2,4,0.16,0.91,0.5542,NEW
65,2,1902,pay_000000065,4351.91,INR,CARD,CAPTURED,,1,2026-05-01 02:50:00,2,4,0.12,0.88,0.8129,REGULAR
66,0,880,pay_000000066,4173.2,INR,WALLET,FAILED,NETWORK_FAILURE,1,2026-05-01 02:52:00,2,4,0.2,0.93,0.7055,REGULAR
67,1,2351,pay_000000067,2915.75,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:53:00,2,4,0.16,0.9,0.6776,REGULAR
68,3,2388,pay_000000068,1210.66,INR,CARD,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 02:54:00,2,4,0.12,0.95,0.613,NEW
69,1,1056,pay_000000069,3599.31,INR,CARD,CAPTURED,,1,2026-05-01 02:55:00,2,4,0.12,0.9,0.4882,NEW
70,4,1954,pay_000000070,11962.23,INR,CARD,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 02:56:00,2,4,0.12,0.91,0.8843,PREMIUM
71,1,2291,pay_000000071,1421.79,INR,NETBANKING,CAPTURED,,1,2026-05-01 02:57:00,2,4,0.16,0.9,0.8605,REGULAR
72,3,1508,pay_000000072,2705.45,INR,UPI,CAPTURED,,1,2026-05-01 03:00:00,3,4,0.08,0.95,0.8531,REGULAR
73,4,2239,pay_000000073,2249.83,INR,UPI,CAPTURED,,1,2026-05-01 03:03:00,3,4,0.08,0.91,0.9346,REGULAR
74,3,1708,pay_000000074,5678.42,INR,UPI,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 03:03:00,3,4,0.08,0.95,0.7759,REGULAR
75,1,46,pay_000000075,6778.15,INR,NETBANKING,CAPTURED,,1,2026-05-01 03:03:00,3,4,0.16,0.9,0.9638,PREMIUM
76,0,1520,pay_000000076,4427.23,INR,WALLET,CAPTURED,,1,2026-05-01 03:09:00,3,4,0.2,0.93,0.7299,NEW
77,3,598,pay_000000077,1360.18,INR,WALLET,FAILED,NETWORK_FAILURE,1,2026-05-01 03:10:00,3,4,0.2,0.95,0.559,NEW
78,2,1477,pay_000000078,1803.96,INR,CARD,CAPTURED,,1,2026-05-01 03:13:00,3,4,0.12,0.88,0.8117,REGULAR
79,4,1999,pay_000000079,2320.85,INR,UPI,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 03:14:00,3,4,0.08,0.91,0.2928,CHURN_RISK
80,0,495,pay_000000080,2558.79,INR,WALLET,CAPTURED,,1,2026-05-01 03:16:00,3,4,0.2,0.93,0.8898,REGULAR
81,2,1662,pay_000000081,3787.57,INR,WALLET,CAPTURED,,1,2026-05-01 03:24:00,3,4,0.2,0.88,0.7272,NEW
82,3,1353,pay_000000082,5302.72,INR,WALLET,CAPTURED,,1,2026-05-01 03:32:00,3,4,0.2,0.95,0.8649,REGULAR
83,2,557,pay_000000083,8308.35,INR,NETBANKING,CAPTURED,,1,2026-05-01 03:34:00,3,4,0.16,0.88,0.9587,PREMIUM
84,3,1898,pay_000000084,7399.55,INR,CARD,CAPTURED,,1,2026-05-01 03:35:00,3,4,0.12,0.95,0.8927,PREMIUM
85,3,1953,pay_000000085,2248.72,INR,UPI,CAPTURED,,1,2026-05-01 03:35:00,3,4,0.08,0.95,0.7532,REGULAR
86,1,16,pay_000000086,2967.66,INR,WALLET,CAPTURED,,1,2026-05-01 03:36:00,3,4,0.2,0.9,0.6446,REGULAR
87,1,791,pay_000000087,7025.68,INR,WALLET,CAPTURED,,1,2026-05-01 03:42:00,3,4,0.2,0.9,0.7005,PREMIUM
88,3,183,pay_000000088,783.71,INR,WALLET,CAPTURED,,1,2026-05-01 03:50:00,3,4,0.2,0.95,0.7796,REGULAR
89,0,1505,pay_000000089,3771.62,INR,CARD,CAPTURED,,1,2026-05-01 03:52:00,3,4,0.12,0.93,0.6029,REGULAR
90,3,2203,pay_000000090,911.5,INR,WALLET,CAPTURED,,1,2026-05-01 04:04:00,4,4,0.2,0.95,0.4,NEW
91,1,2336,pay_000000091,7897.28,INR,NETBANKING,CAPTURED,,1,2026-05-01 04:10:00,4,4,0.16,0.9,0.7773,PREMIUM
92,0,990,pay_000000092,2248.37,INR,NETBANKING,CAPTURED,,1,2026-05-01 04:13:00,4,4,0.16,0.93,0.8835,REGULAR
93,4,599,pay_000000093,3351.51,INR,CARD,CAPTURED,,1,2026-05-01 04:16:00,4,4,0.12,0.91,0.2404,CHURN_RISK
94,4,784,pay_000000094,2028.28,INR,CARD,CAPTURED,,1,2026-05-01 04:16:00,4,4,0.12,0.91,0.9191,REGULAR
95,3,138,pay_000000095,2093.74,INR,UPI,CAPTURED,,1,2026-05-01 04:17:00,4,4,0.08,0.95,0.7656,REGULAR
96,4,874,pay_000000096,2035.19,INR,WALLET,FAILED,REPEATED_FAILURE,3,2026-05-01 04:17:00,4,4,0.2,0.91,0.753,REGULAR
97,0,1650,pay_000000097,2710.94,INR,UPI,CAPTURED,,1,2026-05-01 04:22:00,4,4,0.08,0.93,0.7138,PREMIUM
98,0,45,pay_000000098,3184.76,INR,NETBANKING,CAPTURED,,1,2026-05-01 04:22:00,4,4,0.16,0.93,0.5353,NEW
99,1,1821,pay_000000099,468.3,INR,CARD,CAPTURED,,1,2026-05-01 04:25:00,4,4,0.12,0.9,0.4786,NEW
100,4,2109,pay_000000100,5758.6,INR,WALLET,CAPTURED,,1,2026-05-01 04:27:00,4,4,0.2,0.91,0.9599,REGULAR
101,1,781,pay_000000101,295.3,INR,CARD,CAPTURED,,1,2026-05-01 04:32:00,4,4,0.12,0.9,0.307,CHURN_RISK
102,4,1919,pay_000000102,878.5,INR,WALLET,CAPTURED,,1,2026-05-01 04:34:00,4,4,0.2,0.91,0.6542,REGULAR
103,1,1171,pay_000000103,1470.42,INR,WALLET,CAPTURED,,1,2026-05-01 04:42:00,4,4,0.2,0.9,0.5269,REGULAR
104,0,2470,pay_000000104,908.09,INR,CARD,CAPTURED,,1,2026-05-01 04:51:00,4,4,0.12,0.93,0.8611,REGULAR
105,2,1252,pay_000000105,1642.15,INR,UPI,CAPTURED,,1,2026-05-01 04:53:00,4,4,0.08,0.88,0.814,NEW
106,4,1499,pay_000000106,2683.27,INR,WALLET,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 04:55:00,4,4,0.2,0.91,0.7034,REGULAR
107,4,2039,pay_000000107,4905.49,INR,UPI,CAPTURED,,1,2026-05-01 04:55:00,4,4,0.08,0.91,0.9109,REGULAR
108,4,684,pay_000000108,3356.12,INR,WALLET,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 04:56:00,4,4,0.2,0.91,0.4249,CHURN_RISK
109,2,1732,pay_000000109,528.09,INR,UPI,CAPTURED,,1,2026-05-01 04:58:00,4,4,0.08,0.88,0.4441,NEW
110,2,2127,pay_000000110,4042.71,INR,WALLET,CAPTURED,,1,2026-05-01 05:02:00,5,4,0.2,0.88,0.9464,REGULAR
111,2,682,pay_000000111,1574.52,INR,CARD,CAPTURED,,1,2026-05-01 05:02:00,5,4,0.12,0.88,0.9713,REGULAR
112,1,2016,pay_000000112,917.74,INR,UPI,CAPTURED,,1,2026-05-01 05:04:00,5,4,0.08,0.9,0.885,REGULAR
113,2,682,pay_000000113,2478.02,INR,CARD,CAPTURED,,1,2026-05-01 05:04:00,5,4,0.12,0.88,0.9713,REGULAR
114,4,1524,pay_000000114,906.92,INR,CARD,CAPTURED,,1,2026-05-01 05:06:00,5,4,0.12,0.91,0.9143,REGULAR
115,2,812,pay_000000115,3407.05,INR,UPI,CAPTURED,,1,2026-05-01 05:07:00,5,4,0.08,0.88,0.8004,NEW
116,2,1572,pay_000000116,1364.38,INR,NETBANKING,CAPTURED,,1,2026-05-01 05:10:00,5,4,0.16,0.88,0.8525,REGULAR
117,4,364,pay_000000117,579.93,INR,WALLET,FAILED,REPEATED_FAILURE,2,2026-05-01 05:15:00,5,4,0.2,0.91,0.6619,NEW
118,4,2024,pay_000000118,3785.61,INR,NETBANKING,CAPTURED,,1,2026-05-01 05:20:00,5,4,0.16,0.91,0.8604,REGULAR
119,0,335,pay_000000119,5587.2,INR,NETBANKING,CAPTURED,,1,2026-05-01 05:20:00,5,4,0.16,0.93,0.9516,PREMIUM
120,2,837,pay_000000120,20991.94,INR,WALLET,CAPTURED,,1,2026-05-01 05:21:00,5,4,0.2,0.88,0.9781,PREMIUM
121,3,2043,pay_000000121,6277.64,INR,CARD,CAPTURED,,1,2026-05-01 05:22:00,5,4,0.12,0.95,0.764,REGULAR
122,0,240,pay_000000122,2231.7,INR,CARD,CAPTURED,,1,2026-05-01 05:23:00,5,4,0.12,0.93,0.8233,REGULAR
123,4,2079,pay_000000123,739.54,INR,NETBANKING,CAPTURED,,1,2026-05-01 05:26:00,5,4,0.16,0.91,0.5574,NEW
124,1,1001,pay_000000124,3270.17,INR,WALLET,CAPTURED,,1,2026-05-01 05:28:00,5,4,0.2,0.9,0.8094,REGULAR
125,0,650,pay_000000125,427.52,INR,NETBANKING,CAPTURED,,1,2026-05-01 05:29:00,5,4,0.16,0.93,0.7415,REGULAR
126,3,2078,pay_000000126,9885.07,INR,CARD,CAPTURED,,1,2026-05-01 05:32:00,5,4,0.12,0.95,0.731,REGULAR
127,0,2125,pay_000000127,1790.14,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 05:34:00,5,4,0.12,0.93,0.9537,PREMIUM
128,4,2154,pay_000000128,4733.28,INR,WALLET,CAPTURED,,1,2026-05-01 05:37:00,5,4,0.2,0.91,0.7422,REGULAR
129,1,1426,pay_000000129,3904.33,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 05:42:00,5,4,0.12,0.9,0.851,REGULAR
130,4,494,pay_000000130,11821.24,INR,WALLET,CAPTURED,,1,2026-05-01 05:43:00,5,4,0.2,0.91,0.7538,REGULAR
131,0,1780,pay_000000131,4004.33,INR,UPI,CAPTURED,,1,2026-05-01 05:55:00,5,4,0.08,0.93,0.8466,REGULAR
132,3,1758,pay_000000132,978.01,INR,UPI,CAPTURED,,1,2026-05-01 05:56:00,5,4,0.08,0.95,0.9199,REGULAR
133,1,2201,pay_000000133,10488.17,INR,NETBANKING,CAPTURED,,1,2026-05-01 06:00:00,6,4,0.16,0.9,0.6858,REGULAR
134,2,1842,pay_000000134,2606.85,INR,WALLET,FAILED,NETWORK_FAILURE,1,2026-05-01 06:01:00,6,4,0.2,0.88,0.7863,REGULAR
135,0,770,pay_000000135,297.51,INR,UPI,CAPTURED,,1,2026-05-01 06:02:00,6,4,0.08,0.93,0.7878,NEW
136,3,1118,pay_000000136,4284.29,INR,CARD,CAPTURED,,1,2026-05-01 06:21:00,6,4,0.12,0.95,0.9551,PREMIUM
137,0,1655,pay_000000137,2527.41,INR,WALLET,CAPTURED,,1,2026-05-01 06:25:00,6,4,0.2,0.93,0.6518,REGULAR
138,2,1942,pay_000000138,2909.58,INR,UPI,FAILED,REPEATED_FAILURE,2,2026-05-01 06:26:00,6,4,0.08,0.88,0.3131,CHURN_RISK
139,1,771,pay_000000139,8398.46,INR,CARD,CAPTURED,,1,2026-05-01 06:29:00,6,4,0.12,0.9,0.9985,PREMIUM
140,4,649,pay_000000140,2753.3,INR,CARD,CAPTURED,,1,2026-05-01 06:30:00,6,4,0.12,0.91,0.5627,NEW
141,2,2257,pay_000000141,5368.38,INR,WALLET,CAPTURED,,1,2026-05-01 06:30:00,6,4,0.2,0.88,0.8171,NEW
142,0,2480,pay_000000142,2271.6,INR,CARD,FAILED,AUTHENTICATION_FAILURE,1,2026-05-01 06:33:00,6,4,0.12,0.93,0.8488,REGULAR
143,3,748,pay_000000143,1073.7,INR,UPI,CAPTURED,,1,2026-05-01 06:34:00,6,4,0.08,0.95,0.7585,REGULAR
144,3,163,pay_000000144,2178.85,INR,CARD,CAPTURED,,1,2026-05-01 06:34:00,6,4,0.12,0.95,0.8983,NEW
145,3,1563,pay_000000145,6481.92,INR,WALLET,CAPTURED,,1,2026-05-01 06:39:00,6,4,0.2,0.95,0.9478,PREMIUM
146,4,39,pay_000000146,3005.81,INR,CARD,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 06:43:00,6,4,0.12,0.91,0.631,NEW
147,2,477,pay_000000147,1770.51,INR,UPI,CAPTURED,,1,2026-05-01 06:48:00,6,4,0.08,0.88,0.8481,REGULAR
148,1,1316,pay_000000148,5618.71,INR,NETBANKING,FAILED,NETWORK_FAILURE,1,2026-05-01 06:49:00,6,4,0.16,0.9,0.688,NEW
149,4,924,pay_000000149,690.04,INR,UPI,CAPTURED,,1,2026-05-01 06:50:00,6,4,0.08,0.91,0.7139,NEW
150,2,122,pay_000000150,957.46,INR,UPI,CAPTURED,,1,2026-05-01 06:52:00,6,4,0.08,0.88,0.91,REGULAR
151,3,878,pay_000000151,4151.22,INR,NETBANKING,CAPTURED,,1,2026-05-01 06:53:00,6,4,0.16,0.95,0.8363,REGULAR
152,1,1686,pay_000000152,2046.95,INR,NETBANKING,CAPTURED,,1,2026-05-01 07:08:00,7,4,0.16,0.9,0.6137,REGULAR
153,0,1875,pay_000000153,4254.33,INR,NETBANKING,CAPTURED,,1,2026-05-01 07:09:00,7,4,0.16,0.93,0.5736,REGULAR
154,0,1880,pay_000000154,1622.18,INR,CARD,FAILED,INSUFFICIENT_FUNDS,1,2026-05-01 07:09:00,7,4,0.12,0.93,0.7993,NEW
155,1,716,pay_000000155,5056.83,INR,CARD,FAILED,NETWORK_FAILURE,1,2026-05-01 07:11:00,7,4,0.12,0.9,0.3804,CHURN_RISK
156,2,1657,pay_000000156,4580.01,INR,WALLET,CAPTURED,,1,2026-05-01 07:13:00,7,4,0.2,0.88,0.7612,REGULAR
157,3,818,pay_000000157,1724.44,INR,NETBANKING,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 07:16:00,7,4,0.16,0.95,0.6504,REGULAR
158,2,1627,pay_000000158,4784.35,INR,CARD,CAPTURED,,1,2026-05-01 07:16:00,7,4,0.12,0.88,0.8022,REGULAR
159,3,23,pay_000000159,6740.35,INR,WALLET,CAPTURED,,1,2026-05-01 07:18:00,7,4,0.2,0.95,0.904,REGULAR
160,3,1023,pay_000000160,2637.27,INR,UPI,CAPTURED,,1,2026-05-01 07:23:00,7,4,0.08,0.95,0.2,CHURN_RISK
161,4,789,pay_000000161,2116.11,INR,WALLET,CAPTURED,,1,2026-05-01 07:27:00,7,4,0.2,0.91,0.8096,REGULAR
162,3,1668,pay_000000162,3070.3,INR,WALLET,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 07:27:00,7,4,0.2,0.95,0.8579,REGULAR
163,0,680,pay_000000163,11609.67,INR,NETBANKING,CAPTURED,,1,2026-05-01 07:28:00,7,4,0.16,0.93,0.9818,REGULAR
164,4,749,pay_000000164,6381.23,INR,NETBANKING,CAPTURED,,1,2026-05-01 07:32:00,7,4,0.16,0.91,0.9279,REGULAR
165,1,1361,pay_000000165,1130.75,INR,CARD,CAPTURED,,1,2026-05-01 07:37:00,7,4,0.12,0.9,0.7616,REGULAR
166,4,1634,pay_000000166,2047.21,INR,WALLET,CAPTURED,,1,2026-05-01 07:37:00,7,4,0.2,0.91,0.2964,CHURN_RISK
167,4,1004,pay_000000167,3694.79,INR,WALLET,CAPTURED,,1,2026-05-01 07:39:00,7,4,0.2,0.91,0.7999,REGULAR
168,0,2230,pay_000000168,10838.28,INR,WALLET,CAPTURED,,1,2026-05-01 07:42:00,7,4,0.2,0.93,0.5238,CHURN_RISK
169,1,2451,pay_000000169,4513.29,INR,WALLET,CAPTURED,,1,2026-05-01 07:42:00,7,4,0.2,0.9,0.7276,REGULAR
170,0,1515,pay_000000170,943.44,INR,CARD,CAPTURED,,1,2026-05-01 07:46:00,7,4,0.12,0.93,0.8378,REGULAR
171,0,1365,pay_000000171,5240.6,INR,WALLET,CAPTURED,,1,2026-05-01 07:52:00,7,4,0.2,0.93,0.9322,REGULAR
172,1,1301,pay_000000172,3387.67,INR,WALLET,CAPTURED,,1,2026-05-01 07:53:00,7,4,0.2,0.9,0.8704,NEW
173,1,181,pay_000000173,3376.91,INR,WALLET,CAPTURED,,1,2026-05-01 07:57:00,7,4,0.2,0.9,0.7935,NEW
174,3,1028,pay_000000174,1455.91,INR,WALLET,CAPTURED,,1,2026-05-01 07:57:00,7,4,0.2,0.95,0.7004,NEW
175,3,2023,pay_000000175,2741.54,INR,UPI,CAPTURED,,1,2026-05-01 08:00:00,8,4,0.08,0.95,0.7827,NEW
176,2,1732,pay_000000176,1071.77,INR,NETBANKING,CAPTURED,,1,2026-05-01 08:01:00,8,4,0.16,0.88,0.4441,NEW
177,3,133,pay_000000177,874.4,INR,WALLET,CAPTURED,,1,2026-05-01 08:01:00,8,4,0.2,0.95,0.3776,CHURN_RISK
178,1,346,pay_000000178,3467.51,INR,CARD,CAPTURED,,1,2026-05-01 08:02:00,8,4,0.12,0.9,0.89,PREMIUM
179,3,2093,pay_000000179,4666.35,INR,NETBANKING,CAPTURED,,1,2026-05-01 08:03:00,8,4,0.16,0.95,0.8797,PREMIUM
180,1,1836,pay_000000180,723.03,INR,UPI,CAPTURED,,1,2026-05-01 08:06:00,8,4,0.08,0.9,0.7641,NEW
181,3,1013,pay_000000181,21369.49,INR,CARD,CAPTURED,,1,2026-05-01 08:13:00,8,4,0.12,0.95,0.6531,NEW
182,4,2354,pay_000000182,680.16,INR,WALLET,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 08:15:00,8,4,0.2,0.91,0.7946,REGULAR
183,4,154,pay_000000183,1382.59,INR,NETBANKING,FAILED,REPEATED_FAILURE,2,2026-05-01 08:16:00,8,4,0.16,0.91,0.6364,NEW
